Brand,Lineup / Model,,,Eff.,Form Factor,Tier,Models,Part number,Rated
1st Player,Steampunk / SP,,,G,ATX,,650/750W,PS-[W]SP,40,7,,,Full,,Full,Helly,ATX-0100GB,FB,LLC,SR,DC-DC,Yate Loon,Sleeve,CM6901T6,,"Oriental, Perfect Intelligent Power, Excelliance MOS",SITI PS223,Y,M,A,
,,,,,,B,850W,,,,,,,,,,ATX-0500GB,,LLC,SR,DC-DC,,,,,,,,,,
,Armour / AR Gold,,,G,ATX,B*,550/650/750W,PS-[W]AR,40,5,,,No,,Full,Helly,ATX-0500GQ,FB,LLC,SR,DC-DC,,,,,,,,,,
,BLACK.SIR,,,,ATX,E,,,25,3,,,No,,230V,Helly,ATX-0200,,DF,PR,GR,,,,,,,,,,
,DK,Non-Modular,,B,ATX,E,400/500W,PS-[W]AX,40,3,,,No,,Full,Helly,,,DF,,,,,,,,,,,,
,,Modular,,B,ATX,E,400/500/600W,PS-[W]AX,,,,,Full,,,Helly,,,DF,,,,,,,,,,,,
,DK Premium,,,B,ATX,C*,500/600W,,,,,,No,,Full,Helly,ATX-0600,,DF,SR,DMA,,,,,,,,,,
,,,,,ATX,C*,700/800W,,,,,,,,,,,,,SR,DMA,,,,,,,,,,
,FK,,,N,ATX,E,400W,PS-[W]FK,40,3,,,No,,,Helly,ATX-0200,,DF,PR,GR,,,,,,,,,,PPFC
,,,,,,E,500-750W,,,,,,,,,,,,,PR,GR,,,,,,,,,,
,PRO,,,W,ATX,E,,PS-[W]EUW,40,3,,,No,,230V,Helly,,,DF,,,,,,,,,,,,
,NGDP Gold,,,G,ATX,,,,,,,,Full,,Full,Helly,ATX-0800GB,,LLC,SR,DC-DC,,,,,,,,,,
,NGDP,,,P,ATX,,,,,,,,Full,,Full,Helly,EPS-0100,,LLC,SR,DC-DC,,,,,,,,,,
,SFX,Platinum,,P,SFX,B,750W,,,,,,,,,Helly,SFX-0200,,LLC,SR,DC-DC,,,,,,,,,,
,,Gold,,G,,B*,650W,,,,,,Full,,,Helly,SFX-0200,,LLC,SR,DC-DC,,,,,,,,,,
Abkoncore,CR Platinum,,,P,ATX,B,1200W,Core 1200-MMZZ,,,,,Full,,Full,Andyson,R8,FB,LLC,SR,DC-DC,,,,,,,,,,
,MT,,,W,ATX,,,,,7,,,No,,230V,Andyson,Z8,,DF,PR,GR,,,,,,,,,,
,,Modular,,,ATX,,,,,,,,Full,,,,,,,PR,,,,,,,,,,,
,Tenergy / TN,Gold,,G,ATX,B,650-850W,ABKO-[W]G-MMXX-A,,,,,Full,,Full,Andyson,new K8,,LLC,SR,DC-DC,Power Year,LLS,,,,,,,,
,,Bronze,,B,ATX,C,,,,,,,,,,,Q8,,DF,SSR,DC-DC,,,,,,,,,,
,Settler,,II,B,ATX,,800W,ST-[W]B,,,,,No,,230V,Jiuzhou,ATX-41,,DF,,DC-DC,,,,,,,,,,
,Awesome,,,S,ATX,,,,,,,,No,,,Andyson,Q8,,DF,,DC-DC,,,,,,,,,,
Abysm,Morpheo,,,G,ATX,,850W/ ???,,,,,,Semi,,,Fortech,,,LLC,,DC-DC,,,,,,,,,,
accuwit,Grand Rigid GF,,,G,ATX,,550-850W,,,,,,Full,,,Lite-on,,,LLC,SR,DC-DC,,,,,,,,,,
,Grand Rigid GD,,,G,ATX,,550-850,,,,,,No,,,Lite-on,,,LLC,SR,DC-DC,,,,,,,,,,
ADATA XPG,Core Reactor II,,,G,ATX,B*,750/850W,,,,2023,,,,,CWT,CSE-S,,LLC,SR,DC-DC,,,,,,,,,,
,Core Reactor,,,G,ATX,A+,650/750/850W,COREREACTOR[W]G-BKC,50,10,2019,,Full,140,Full,CWT,CSE-S,,LLC,SR,DC-DC,Hong Hua,FDB,CU6901V,CM65000UN,,,,,,
,Core Shift,,,G,ATX,A*,1000W,,,,,,,,,CWT,CSZ,,LLC,SR,DC-DC,,,,,,,,,,
,,,,,ATX,C*,850W,,,,,,Full,,230V,CWT,GPX,,LLC,SR,DC-DC,,,,,,,,,,
,,,,,ATX,B*,650/750W,,,,,,,,Full,,,,,SR,,,,,,,,,,,
,Core Shift II,,,G,ATX,,,,,,,,Full,,230V,CWT,GPX ATX 3.0,,LLC,SR,DC-DC,,,,,,,,,,
,Core Shift II SE,,,G,ATX,,,,,,,,Full,,,SAMA,,,LLC,SR,DC-DC,,,,,,,,,,
,Cybercore II,,,P,ATX,A*,1000/1300W,,,,2023,,Full,,Full,CWT,CTT XPG,,LLC,SR,DC-DC,,,,,,,,,,
,Cybercore,,,P,ATX,A+,1000/1300W,,,,2022,,Full,,Full,CWT,CTT XPG,,LLC,SR,DC-DC,,,,,,,,,,
,Fusion,,,T,ATX,B*,1600W,,,,2023,,Full,,Full,Delta,GPS-1600AP,TP,LLC,SR,DC-DC,,,,,,,,,,
,HM,,,B,ATX,X,650W,HM-[W],50,5,,,Semi,,Full,CWT,PSH II,,DF,PR,DMA,,,,,,PS229,N,M,A,
,Kyber,,,G,ATX,,,,,,,,,,,CWT,GPW,,LLC,SR,DC-DC,,,,,,,,,,
,Probe,,,W,ATX,E,,,,,,,,,,CWT,GPM,,DF,PR,GR,,,,,,,,,,
,Pylon,,,B,ATX,C+,450-750W,PYLON[W]B-BKC,40,3,2020,,No,,Full,CWT,CSB-A,,DF,SSR,DC-DC,Hong Hua,FDB,CM6800T,,,IN1S429I - DCG,Y,M,A,
Aerocool,Aero,Bronze,,B,ATX,C*,,,40,2,,,No,,230V,SANR,,,DF,SR,DC-DC,DWPH,Rifle,,,,Grenergy GR8329N,Y,Y,Y,
,,,M,B,ATX,C*,,,,,,,Full,,230V,,,,DF,,DC-DC,,,,,,,,,,
,,White,,W,ATX,E,,,,,2020?,,No,,230V,SANR,,,DF,PR,GR,,,,,,,,,,
,Cyclon,,,W,ATX,F,,,,,,,No,,,,,,DF,PR,GR,,,,,,,,,,
,GT SG,,,G,ATX,X,,,?,3,2012,,Semi,,Full,HEC,,,LLC,SR,DC-DC,Young Lin Tech,LLS,CM6901,CM6502,,Weltrend WT7527,Y,Y,Y,
